               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11808,            0.032048,                   0,                   0,                   0,                   0,                   0,            0.072399,            0.031281,                   0,              0.0928,              0.0008,              0.0008
                   1,             0.10728,            0.032233,                   0,                   0,                   0,                   0,                   0,            0.068591,            0.029934,                   0,            0.084666,           0.0016663,           0.0016663
                   2,             0.09581,            0.032387,                   0,                   0,                   0,                   0,                   0,            0.062536,            0.028821,                   0,            0.076497,            0.002497,            0.002497
                   3,            0.089419,            0.032057,                   0,                   0,                   0,                   0,                   0,            0.056201,             0.02822,                   0,            0.068292,           0.0032921,           0.0032921
                   4,            0.086534,            0.030168,                   0,                   0,                   0,                   0,                   0,            0.051366,            0.028048,                   0,            0.060052,           0.0040515,           0.0040515
                   5,            0.084476,            0.030467,                   0,                   0,                   0,                   0,                   0,            0.048555,            0.027407,                   0,            0.051775,           0.0047753,           0.0047753
                   6,            0.077639,            0.028556,                   0,                   0,                   0,                   0,                   0,            0.042365,            0.028444,                   0,            0.043463,           0.0054634,           0.0054634
                   7,            0.079166,            0.029714,                   0,                   0,                   0,                   0,                   0,            0.043284,            0.027004,                   0,            0.035116,           0.0061159,           0.0061159
                   8,            0.071694,             0.03072,                   0,                   0,                   0,                   0,                   0,            0.045923,            0.025427,                   0,            0.026733,           0.0067328,           0.0067328
                   9,            0.071869,            0.030813,                   0,                   0,                   0,                   0,                   0,            0.045971,            0.024684,                   0,            0.018314,            0.007314,            0.007314
                  10,            0.070679,            0.034197,                   0,                   0,                   0,                   0,                   0,            0.043105,            0.023934,                   0,           0.0098596,           0.0078596,           0.0078596
                  11,            0.078713,            0.027594,                   0,                   0,                   0,                   0,                   0,            0.040163,            0.024875,                   0,            0.007822,            0.007822,            0.007822
                  12,            0.069684,            0.028316,                   0,                   0,                   0,                   0,                   0,            0.040521,            0.024135,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.068381,            0.030708,                   0,                   0,                   0,                   0,                   0,            0.043318,              0.0224,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.067871,            0.029086,                   0,                   0,                   0,                   0,                   0,            0.039775,            0.023179,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.065422,            0.027841,                   0,                   0,                   0,                   0,                   0,             0.04398,            0.022004,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.066238,            0.026869,                   0,                   0,                   0,                   0,                   0,            0.036472,            0.023772,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.063795,            0.027598,                   0,                   0,                   0,                   0,                   0,            0.035769,            0.023779,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.061219,            0.026933,                   0,                   0,                   0,                   0,                   0,            0.042619,            0.021096,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.061749,            0.026796,                   0,                   0,                   0,                   0,                   0,            0.040057,            0.021361,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.061247,            0.027332,                   0,                   0,                   0,                   0,                   0,            0.034929,            0.022182,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.056355,            0.024076,                   0,                   0,                   0,                   0,                   0,            0.033213,            0.022117,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.056629,            0.025871,                   0,                   0,                   0,                   0,                   0,             0.03386,            0.021655,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.051139,            0.025268,                   0,                   0,                   0,                   0,                   0,             0.03203,            0.021832,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.052541,            0.029715,                   0,                   0,                   0,                   0,                   0,            0.029809,            0.021996,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.049005,            0.026587,                   0,                   0,                   0,                   0,                   0,            0.028909,            0.021883,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.049903,            0.029305,                   0,                   0,                   0,                   0,                   0,             0.04035,            0.019106,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.053885,            0.024149,                   0,                   0,                   0,                   0,                   0,            0.025327,            0.021546,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.048929,            0.027823,                   0,                   0,                   0,                   0,                   0,            0.036235,            0.019325,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.049647,            0.023343,                   0,                   0,                   0,                   0,                   0,            0.027736,            0.020156,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.049073,             0.02517,                   0,                   0,                   0,                   0,                   0,              0.0247,             0.02023,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.045535,            0.024947,                   0,                   0,                   0,                   0,                   0,            0.024538,            0.019632,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.046547,            0.022126,                   0,                   0,                   0,                   0,                   0,            0.025477,            0.019196,                   0,            0.003862,            0.003862,            0.003862
                  33,             0.04293,            0.024318,                   0,                   0,                   0,                   0,                   0,            0.025425,              0.0188,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.040336,            0.022916,                   0,                   0,                   0,                   0,                   0,            0.030307,            0.017353,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.046278,            0.021791,                   0,                   0,                   0,                   0,                   0,            0.020088,            0.018516,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.042413,            0.022585,                   0,                   0,                   0,                   0,                   0,            0.030748,            0.016509,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.048135,            0.022137,                   0,                   0,                   0,                   0,                   0,            0.020143,            0.017448,                   0,            0.002872,            0.002872,            0.002872
                  38,             0.04185,            0.019983,                   0,                   0,                   0,                   0,                   0,            0.026013,            0.016519,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.039471,            0.020928,                   0,                   0,                   0,                   0,                   0,            0.023573,            0.016411,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.037585,             0.02239,                   0,                   0,                   0,                   0,                   0,            0.018902,            0.016528,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.035055,            0.018609,                   0,                   0,                   0,                   0,                   0,             0.02286,            0.015867,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.039559,             0.02248,                   0,                   0,                   0,                   0,                   0,            0.023455,            0.015296,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.036781,            0.018948,                   0,                   0,                   0,                   0,                   0,            0.021673,            0.015214,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.038253,            0.020286,                   0,                   0,                   0,                   0,                   0,            0.023045,            0.014869,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.038424,            0.019693,                   0,                   0,                   0,                   0,                   0,            0.018312,            0.014938,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.036857,            0.019201,                   0,                   0,                   0,                   0,                   0,            0.017093,            0.014914,                   0,             0.00109,             0.00109,             0.00109
                  47,             0.03551,            0.021023,                   0,                   0,                   0,                   0,                   0,            0.016055,            0.014843,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.036355,            0.020155,                   0,                   0,                   0,                   0,                   0,            0.014579,            0.014809,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.037662,            0.017997,                   0,                   0,                   0,                   0,                   0,            0.014588,            0.014738,                   0,            0.000496,            0.000496,            0.000496
