               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092733,            0.031026,                   0,           0.0031333,                0.94,           0.0081897,           0.0022236,            0.053777,            0.027505,                   0,            0.070395,           0.0032895,           0.0032895
                   1,             0.06845,            0.030303,                   0,           0.0099201,               0.995,             0.13167,            0.029319,            0.039887,             0.02544,                   0,            0.040329,           0.0065572,           0.0065572
                   2,            0.060278,            0.026791,                   0,             0.29064,              0.9175,             0.71928,             0.26962,             0.03752,            0.021935,                   0,            0.010198,            0.009759,            0.009759
                   3,            0.050976,            0.025045,                   0,             0.81317,             0.94668,              0.9418,             0.46279,            0.041354,            0.017407,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.047925,            0.020434,                   0,             0.99015,              0.9575,             0.99004,             0.74592,            0.022924,            0.013705,                   0,            0.009703,            0.009703,            0.009703
                   5,             0.04345,            0.016281,                   0,             0.97788,                0.97,             0.98965,             0.41599,            0.025598,            0.011521,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.040348,            0.014991,                   0,             0.68661,             0.97497,             0.73682,             0.55517,            0.023718,           0.0095194,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.036771,            0.013714,                   0,             0.92588,             0.96806,              0.9875,              0.7081,            0.026136,           0.0084479,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.034184,            0.012468,                   0,             0.99927,              0.9975,               0.995,             0.69322,            0.017458,           0.0075495,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.033499,            0.011931,                   0,             0.99853,                   1,               0.995,             0.78674,            0.014298,           0.0069169,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.032276,            0.011432,                   0,             0.99991,                   1,               0.995,             0.61594,            0.020683,           0.0072246,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.028699,            0.010655,                   0,             0.99413,                   1,               0.995,              0.5027,            0.023896,           0.0069143,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.028511,            0.010271,                   0,             0.99336,                   1,             0.99402,             0.80166,            0.018092,           0.0064901,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.027997,           0.0096264,                   0,              0.9971,                   1,               0.995,              0.6518,            0.022295,           0.0064284,                   0,            0.008812,            0.008812,            0.008812
