               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,                   0,             0.02388,                   0,                   0,                   0,                   0,                   0,                   0,            0.022786,                   0,              0.0928,              0.0008,              0.0008
                   1,                   0,            0.021103,                   0,                   0,                   0,                   0,                   0,                   0,            0.019095,                   0,            0.084666,           0.0016663,           0.0016663
                   2,                   0,            0.017216,                   0,                   0,                   0,                   0,                   0,                   0,            0.016083,                   0,            0.076497,            0.002497,            0.002497
                   3,                   0,            0.014028,                   0,                   0,                   0,                   0,                   0,                   0,            0.012929,                   0,            0.068292,           0.0032921,           0.0032921
                   4,                   0,            0.011441,                   0,                   0,                   0,                   0,                   0,                   0,            0.010795,                   0,            0.060052,           0.0040515,           0.0040515
                   5,                   0,           0.0092784,                   0,                   0,                   0,                   0,                   0,                   0,           0.0088662,                   0,            0.051775,           0.0047753,           0.0047753
                   6,                   0,           0.0076764,                   0,                   0,                   0,                   0,                   0,                   0,           0.0071835,                   0,            0.043463,           0.0054634,           0.0054634
                   7,                   0,           0.0063667,                   0,                   0,                   0,                   0,                   0,                   0,           0.0056062,                   0,            0.035116,           0.0061159,           0.0061159
                   8,                   0,           0.0051568,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048584,                   0,            0.026733,           0.0067328,           0.0067328
                   9,                   0,           0.0043526,                   0,                   0,                   0,                   0,                   0,                   0,           0.0041081,                   0,            0.018314,            0.007314,            0.007314
                  10,                   0,           0.0037003,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031315,                   0,           0.0098596,           0.0078596,           0.0078596
                  11,                   0,           0.0030292,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026361,                   0,            0.007822,            0.007822,            0.007822
                  12,                   0,           0.0025112,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022061,                   0,            0.007822,            0.007822,            0.007822
                  13,                   0,           0.0020981,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018974,                   0,            0.007624,            0.007624,            0.007624
                  14,                   0,           0.0017779,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016319,                   0,            0.007426,            0.007426,            0.007426
                  15,                   0,           0.0015163,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014291,                   0,            0.007228,            0.007228,            0.007228
                  16,                   0,            0.001312,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012615,                   0,             0.00703,             0.00703,             0.00703
